epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1,3.19296,3.32161,2.33087,0.990737,30848,4.18999
2,3.03513,2.79162,1.89945,0.892172,30848,3.6347
3,2.91184,2.47907,1.75945,0.719622,30848,3.6674
4,2.84957,2.20576,1.66487,0.540892,30848,3.63992
5,2.75675,1.99003,1.57329,0.41674,30848,3.7567
6,2.70438,1.82942,1.49467,0.33475,30848,3.82762
7,2.62556,1.68069,1.41636,0.264338,30848,3.65081
8,2.55578,1.56629,1.34835,0.217944,30848,3.64955
9,2.51271,1.46826,1.28277,0.185481,30848,3.64774
10,2.4458,1.39188,1.21659,0.175286,30848,3.66887
11,2.37967,1.31561,1.15611,0.159496,30848,3.66998
12,2.32761,1.25371,1.1012,0.152513,30848,3.67588
13,2.29039,1.21064,1.05939,0.151253,30848,3.68899
14,2.24954,1.15675,1.01203,0.144721,30848,3.67884
15,2.19139,1.09715,0.965234,0.131919,30848,3.68111
16,2.16372,1.04957,0.92344,0.126127,30848,3.69107
17,2.11384,1.00207,0.88596,0.116108,30848,3.7186
18,2.07778,0.970091,0.853218,0.116873,30848,3.67741
19,2.04831,0.940804,0.824419,0.116385,30848,3.67794
20,2.02252,0.909439,0.792581,0.116858,30848,3.69779
21,1.98711,0.879968,0.768488,0.11148,30848,3.70171
22,1.9679,0.856106,0.743155,0.112951,30848,3.69739
23,1.94127,0.830477,0.717839,0.112638,30848,3.70705
24,1.9035,0.804306,0.693707,0.110599,30848,3.71063
25,1.88561,0.783147,0.675306,0.107841,30848,3.73628
26,1.87697,0.764223,0.660751,0.103473,30848,3.72384
27,1.8577,0.745809,0.645115,0.100694,30848,3.75402
28,1.84119,0.733231,0.630228,0.103003,30848,3.73913
29,1.8086,0.7139,0.611578,0.102322,30848,3.734
30,1.81132,0.704901,0.601275,0.103626,30848,3.7454
31,1.78869,0.686179,0.587688,0.0984908,30848,3.76955
32,1.79208,0.687383,0.587329,0.100054,30848,3.7749
33,1.77716,0.67901,0.577714,0.101296,30848,3.74884
34,1.77883,0.677175,0.574754,0.102421,30848,3.78483
35,1.76594,0.666244,0.566785,0.0994593,30848,3.75862
36,1.7511,0.660585,0.558224,0.102361,30848,3.75705
37,1.73913,0.651853,0.550364,0.101489,30848,3.7517
38,1.74314,0.647448,0.544961,0.102488,30848,3.76615
39,1.7308,0.6418,0.541693,0.100107,30848,3.76995
40,1.72645,0.636124,0.535258,0.100867,30848,3.77129
41,1.72427,0.628245,0.531575,0.0966696,30848,3.76995
42,1.70881,0.616189,0.519306,0.0968824,30848,3.76586
43,1.70697,0.606227,0.512024,0.0942032,30848,3.77858
44,1.69022,0.600934,0.507634,0.0933005,30848,3.7797
45,1.70166,0.605865,0.506685,0.0991798,30848,3.80362
46,1.69942,0.600386,0.504291,0.0960954,30848,3.79746
47,1.69023,0.593798,0.500731,0.0930669,30848,3.77653
48,1.68082,0.588387,0.491839,0.0965478,30848,3.74995
49,1.67916,0.584938,0.490461,0.0944766,30848,3.7784
