epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1,2.06914,2.87939,2.09248,0.78691,20528,3.37828
2,1.88551,2.17183,1.625,0.546838,20528,2.85988
3,1.74673,1.87602,1.45207,0.423957,20528,3.12629
4,1.65143,1.6919,1.33993,0.351973,20528,3.13378
5,1.57227,1.52495,1.21545,0.309499,20528,3.14381
6,1.48065,1.37919,1.11063,0.268557,20528,3.16026
7,1.4001,1.27622,1.03773,0.238486,20528,3.14939
8,1.34815,1.17106,0.950054,0.221002,20528,3.19248
9,1.27137,1.08466,0.891022,0.193642,20528,3.1561
10,1.23098,1.00493,0.81972,0.185208,20528,3.13078
11,1.17103,0.932538,0.753814,0.178724,20528,3.13644
12,1.09639,0.862483,0.694562,0.167921,20528,3.14006
13,1.05279,0.805171,0.648862,0.156309,20528,3.18677
14,1.02834,0.78573,0.626567,0.159163,20528,3.05856
15,0.983484,0.742795,0.595369,0.147427,20528,2.67476
16,0.937332,0.699017,0.549268,0.149749,20528,2.82014
17,0.882288,0.648488,0.50873,0.139759,20528,2.72919
18,0.851226,0.610363,0.477104,0.13326,20528,2.68817
19,0.816788,0.586919,0.451346,0.135573,20528,2.73613
20,0.798048,0.573768,0.440013,0.133756,20528,2.77368
21,0.775446,0.56517,0.429973,0.135197,20528,2.68903
22,0.755063,0.544359,0.412997,0.131362,20528,2.87356
23,0.751142,0.537215,0.408026,0.129189,20528,2.68318
24,0.739972,0.540397,0.410415,0.129982,20528,3.77774
25,0.761489,0.544401,0.418579,0.125823,20528,4.1715
26,0.74647,0.543337,0.417172,0.126165,20528,3.82341
27,0.740104,0.534153,0.408899,0.125254,20528,3.96642
28,0.716467,0.517728,0.392798,0.12493,20528,3.70528
29,0.6968,0.507961,0.383512,0.124449,20528,4.10542
30,0.710662,0.513249,0.38423,0.129019,20528,3.65313
31,0.706107,0.506781,0.385485,0.121296,20528,3.73713
32,0.703196,0.505499,0.383785,0.121715,20528,3.82121
33,0.697765,0.50189,0.379122,0.122769,20528,3.86154
34,0.696234,0.500959,0.379278,0.121682,20528,3.72498
35,0.669146,0.476652,0.360995,0.115657,20528,3.64165
36,0.675527,0.485248,0.363452,0.121796,20528,3.95776
37,0.700384,0.507636,0.381427,0.126209,20528,3.81226
38,0.665708,0.485889,0.368761,0.117128,20528,3.80192
39,0.666274,0.476055,0.360358,0.115697,20528,4.00743
40,0.674605,0.476221,0.360274,0.115947,20528,3.81507
41,0.663709,0.474535,0.353674,0.120861,20528,3.8084
42,0.644323,0.454075,0.340839,0.113236,20528,3.87718
43,0.644273,0.458947,0.340192,0.118754,20528,3.96581
44,0.627366,0.442762,0.331053,0.11171,20528,3.77036
45,0.648024,0.451669,0.338511,0.113158,20528,3.78642
46,0.653032,0.459626,0.34075,0.118876,20528,3.79598
47,0.645865,0.467655,0.349601,0.118054,20528,3.76955
48,0.679416,0.482773,0.362312,0.12046,20528,3.98402
49,0.679917,0.503164,0.378917,0.124247,20528,4.07729
50,0.693631,0.506644,0.381382,0.125262,20528,3.73756
51,0.677393,0.509118,0.37112,0.137998,20528,3.6781
52,0.652355,0.482367,0.358776,0.123592,20528,4.03565
53,0.657598,0.479252,0.36294,0.116312,20664,4.2511
54,0.646214,0.453554,0.34031,0.113244,20664,3.65154
55,0.615735,0.439192,0.323965,0.115226,20664,3.9001
56,0.610092,0.423419,0.313313,0.110106,20664,3.87715
57,0.603282,0.42039,0.307481,0.112909,20664,3.89197
58,0.602914,0.416737,0.304948,0.111789,20664,3.71938
59,0.600513,0.406504,0.29722,0.109284,20664,4.08305
60,0.584421,0.403221,0.293523,0.109697,20664,3.82028
61,0.592873,0.410132,0.298526,0.111606,20664,4.1134
62,0.590005,0.401867,0.293962,0.107905,20664,3.67066
63,0.594326,0.402317,0.293359,0.108958,20664,3.95318
64,0.615816,0.453743,0.331134,0.122609,20968,4.29611
65,0.612289,0.421553,0.306761,0.114792,20968,3.83307
66,0.594793,0.408008,0.295128,0.11288,20968,3.99473
67,0.591641,0.403613,0.292167,0.111445,20968,3.78838
68,0.589519,0.397881,0.286912,0.110969,20968,3.78282
69,0.583837,0.396665,0.286949,0.109716,20968,3.95783
70,0.586817,0.399198,0.288276,0.110923,20968,3.90895
71,0.583971,0.397186,0.28681,0.110376,20968,3.86817
72,0.583861,0.397147,0.286092,0.111055,20968,3.99921
73,0.581444,0.392046,0.281426,0.11062,20968,3.8281
74,0.582342,0.392035,0.281357,0.110678,20968,3.87161
75,0.578843,0.389667,0.279733,0.109934,20968,4.23531
76,0.577549,0.392214,0.281509,0.110705,20968,3.75516
77,0.574118,0.386203,0.277224,0.108978,20968,3.79797
78,0.575917,0.386949,0.278076,0.108873,20968,4.08926
79,0.576826,0.383462,0.275134,0.108328,20968,3.86284
80,0.57545,0.386816,0.277713,0.109103,20968,3.81711
81,0.577503,0.386723,0.277977,0.108747,20968,3.85227
82,0.572875,0.38414,0.27699,0.10715,20968,4.22124
83,0.577625,0.389353,0.279397,0.109956,20968,3.76521
84,0.573172,0.385584,0.276983,0.1086,20968,3.79073
85,0.574053,0.384113,0.27623,0.107883,20968,3.78352
86,0.573252,0.382032,0.27397,0.108062,20968,3.85974
87,0.570607,0.38099,0.273262,0.107728,20968,3.85526
88,0.572172,0.38173,0.274674,0.107056,20968,3.76951
89,0.575797,0.380948,0.273439,0.107509,20968,4.12362
90,0.566684,0.382068,0.274147,0.107921,20968,3.80662
91,0.575279,0.386586,0.277502,0.109084,20968,3.94685
92,0.571299,0.388268,0.280931,0.107337,20968,3.85923
93,0.578212,0.38506,0.2778,0.10726,20968,3.9842
94,0.568404,0.381636,0.274487,0.107148,20968,3.74084
95,0.574192,0.382235,0.274996,0.107239,20968,3.86887
96,0.569645,0.381328,0.274532,0.106796,20968,3.98458
97,0.570375,0.382696,0.274411,0.108285,20968,3.68922
98,0.574099,0.380766,0.273525,0.10724,20968,3.97938
99,0.572196,0.383153,0.275088,0.108065,20968,3.69096
100,0.572144,0.382907,0.275127,0.10778,20968,3.73816
101,0.572445,0.382649,0.275275,0.107374,20968,3.92769
102,0.570317,0.382698,0.27409,0.108608,20968,3.69783
103,0.570953,0.381502,0.274697,0.106805,20968,3.85093
104,0.570493,0.383567,0.275601,0.107966,20968,3.93857
105,0.57063,0.381427,0.27376,0.107667,20968,3.81344
106,0.573768,0.383964,0.275619,0.108345,20968,3.81889
107,0.569914,0.379586,0.272416,0.107171,20968,3.7988
