epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1,4.10771,4.02899,3.02606,1.00292,30760,7.02011
2,3.79531,3.32074,2.41287,0.907868,30760,6.94031
3,3.5917,3.03811,2.24617,0.791934,30760,6.95266
4,3.52958,2.79329,2.14983,0.643453,30760,6.97006
5,3.43886,2.59504,2.07055,0.524492,30760,7.06839
6,3.3906,2.42259,1.99536,0.427228,30760,7.04479
7,3.31231,2.27573,1.89766,0.378063,30760,7.0449
8,3.26244,2.19984,1.85358,0.346258,30760,7.07432
9,3.2002,2.08021,1.77878,0.301422,30760,7.08312
10,3.16448,2.05956,1.75736,0.302203,30760,7.09879
11,3.10532,1.97449,1.69968,0.274813,30760,7.09792
12,3.05632,1.88966,1.63518,0.254487,30760,7.13246
13,3.00863,1.8417,1.59674,0.244962,30760,7.1356
14,2.99644,1.79214,1.55722,0.234915,30760,7.13976
15,2.92875,1.74149,1.51752,0.223966,30760,7.145
16,2.91285,1.75929,1.50527,0.254018,30760,7.17082
17,2.87839,1.65601,1.44705,0.208967,30760,7.14485
18,2.84968,1.63861,1.42564,0.21297,30760,7.15406
19,2.79575,1.56799,1.37038,0.197615,30760,7.1811
20,2.77673,1.55564,1.35144,0.204198,30760,7.18048
21,2.72895,1.49846,1.30475,0.19371,30760,7.13813
22,2.69249,1.47864,1.29067,0.187975,30760,7.40582
23,2.70948,1.45946,1.28328,0.176177,30760,7.16389
24,2.68917,1.43421,1.24897,0.185246,30760,7.2093
25,2.6233,1.40989,1.21222,0.197674,30952,8.02429
26,2.57542,1.31836,1.14276,0.175603,30952,7.18126
27,2.5391,1.27943,1.10659,0.172839,30952,7.48828
28,2.50338,1.23815,1.06986,0.168292,30952,7.17502
29,2.47325,1.20788,1.04566,0.162214,30952,7.19208
30,2.46495,1.18635,1.02554,0.160804,30952,7.17759
31,2.44016,1.16677,1.01022,0.156548,30952,7.35435
32,2.42244,1.14515,0.992327,0.152819,30952,7.28903
33,2.40279,1.13462,0.984847,0.149778,30952,7.24664
34,2.40393,1.13164,0.97508,0.156562,30952,7.2413
35,2.37835,1.11098,0.962549,0.148429,30952,7.57214
36,2.37104,1.0973,0.948072,0.149227,30952,7.24576
37,2.37211,1.12327,0.962789,0.160483,31192,7.89655
38,2.36011,1.0946,0.941602,0.152998,31192,7.21585
39,2.342,1.07529,0.925251,0.150043,31192,7.40101
40,2.33421,1.06522,0.91799,0.147231,31192,7.22945
41,2.32656,1.05954,0.913061,0.146482,31192,7.2578
42,2.32219,1.04917,0.904459,0.144708,31192,7.28922
43,2.31303,1.04283,0.898487,0.144344,31192,7.39239
44,2.3016,1.03251,0.890482,0.142033,31192,7.22167
45,2.292,1.03251,0.886957,0.145551,31192,7.47638
46,2.2941,1.02446,0.88288,0.141581,31192,7.26726
47,2.28634,1.01954,0.877648,0.14189,31192,7.23591
48,2.27886,1.00895,0.873045,0.135902,31192,7.24371
49,2.26525,1.00503,0.866109,0.138925,31192,7.25395
50,2.26504,0.995398,0.858742,0.136656,31192,7.28031
51,2.26218,0.990421,0.855344,0.135078,31192,7.3718
52,2.2619,1.01967,0.872294,0.147376,31400,8.19719
