epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1,5.91562,7.0039,6.06334,0.940562,1336,0.28344
2,5.94153,6.7406,6.0296,0.711002,1336,0.2273
3,5.94594,6.56897,6.01629,0.552686,1336,0.21736
4,5.95027,6.43207,6.00415,0.42792,1336,0.23414
5,5.95495,6.32585,5.99262,0.33323,1336,0.22187
6,5.95858,6.24919,5.98318,0.266004,1336,0.21669
7,5.9603,6.17745,5.97787,0.199582,1336,0.21939
8,5.95981,6.11978,5.96461,0.155174,1336,0.22726
9,5.95851,6.08176,5.95795,0.123812,1336,0.21995
10,5.95685,6.0614,5.95681,0.104598,1336,0.23576
11,5.95162,6.02899,5.94881,0.0801854,1336,0.22025
12,5.94849,6.01789,5.94719,0.0707008,1336,0.22355
13,5.9442,6.00365,5.94151,0.0621445,1336,0.22048
14,5.93822,5.9894,5.93427,0.0551325,1336,0.22366
15,5.93437,5.97575,5.93114,0.0446102,1336,0.22258
16,5.93194,5.96936,5.92866,0.0406995,1336,0.22992
17,5.9245,5.96703,5.922,0.0450345,1336,0.22449
18,5.92094,5.95142,5.91764,0.033774,1336,0.22875
19,5.91945,5.94924,5.9163,0.0329339,1336,0.21391
20,5.91676,5.94208,5.91368,0.0283955,1336,0.22414
21,5.9111,5.93059,5.9075,0.0230946,1336,0.2288
22,5.90972,5.93939,5.91556,0.0238372,1336,0.22
23,5.90898,5.94554,5.91714,0.0284008,1336,0.21582
24,5.90419,5.92853,5.90469,0.0238353,1336,0.21982
25,5.90171,5.92148,5.90167,0.0198145,1336,0.21815
26,5.90045,5.91812,5.89852,0.0196033,1336,0.22056
27,5.90121,5.9296,5.90256,0.0270387,1336,0.21814
28,5.90123,5.91911,5.90361,0.0154925,1336,0.21689
29,5.8976,5.91408,5.89129,0.0227886,1336,0.21382
30,5.8948,5.91414,5.89386,0.0202785,1336,0.2165
31,5.91624,6.14608,5.93306,0.213021,1880,33.4431
32,5.92084,6.03586,5.9313,0.104552,1880,0.24469
33,5.92257,6.00604,5.92913,0.0769167,1880,0.2864
34,5.92135,5.97278,5.92763,0.0451532,1880,0.27006
35,5.92137,5.98447,5.92483,0.0596409,1880,0.28608
