epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1,3.58245,4.58254,3.58397,0.998569,1152,0.22116
2,3.58247,4.5802,3.58362,0.996576,1152,0.07281
3,3.5825,4.57684,3.58334,0.993497,1152,0.06891
4,3.58251,4.57123,3.58305,0.98818,1152,0.0759
5,3.58248,4.56188,3.58268,0.979192,1152,0.07391
6,3.58231,4.54999,3.58228,0.967702,1152,0.09905
7,3.5821,4.53464,3.58171,0.952928,1152,0.08454
8,3.58177,4.5163,3.58115,0.935153,1152,0.07259
9,3.58102,4.49634,3.58058,0.915762,1152,0.08209
10,3.58067,4.47783,3.5798,0.898024,1152,0.08507
11,3.58042,4.4674,3.57919,0.888217,1152,0.08171
12,3.58013,4.45772,3.57869,0.879034,1152,0.08222
13,3.57958,4.44985,3.57829,0.871563,1152,0.09605
14,3.57905,4.44081,3.57798,0.862831,1152,0.08509
15,3.57941,4.43264,3.57769,0.85495,1152,0.08221
16,3.57907,4.42389,3.57751,0.846387,1152,0.08207
17,3.57911,4.41163,3.57718,0.834447,1152,0.07192
18,3.57948,4.40185,3.57701,0.824847,1152,0.09845
19,3.57904,4.39202,3.57685,0.815171,1152,0.08021
20,3.57875,4.37516,3.57668,0.798483,1152,0.08631
21,3.57846,4.36153,3.57655,0.784982,1152,0.07962
22,3.57852,4.34651,3.57631,0.770195,1152,0.07453
23,3.57887,4.33397,3.57619,0.757776,1152,0.08979
24,3.57925,4.31688,3.57606,0.740814,1152,0.08047
25,3.57873,4.2971,3.57581,0.721295,1152,0.07319
26,3.57864,4.20006,3.57693,0.623127,1392,0.09909
27,3.57842,4.17227,3.57675,0.595529,1392,0.09299
28,3.57895,4.1569,3.5766,0.580298,1392,0.10469
29,3.57888,4.13223,3.57708,0.555142,1512,0.10311
30,3.57902,4.11599,3.57692,0.539068,1512,0.1044
31,3.57896,4.101,3.57654,0.524454,1512,0.10468
32,3.57888,4.09293,3.57652,0.516419,1512,0.09986
33,3.57898,4.07619,3.57611,0.500081,1512,0.10754
34,3.57906,4.18116,3.57631,0.604851,1640,0.10015
35,3.57853,4.16475,3.57575,0.589003,1640,0.09361
36,3.57871,4.1488,3.57562,0.573179,1640,0.09163
37,3.57847,4.13607,3.57516,0.560913,1640,0.09406
38,3.57851,4.323,3.57657,0.74643,1768,0.12572
39,3.57933,4.31499,3.57623,0.738761,1768,0.10994
40,3.57897,4.3041,3.57592,0.728184,1768,0.10743
41,3.57925,4.28947,3.5757,0.713775,1768,0.11739
42,3.57946,4.30152,3.57599,0.725531,1896,0.11471
43,3.5798,4.28787,3.57587,0.712002,1896,0.11499
44,3.57955,4.27081,3.57557,0.69524,1896,0.12822
45,3.57943,4.26216,3.57522,0.686933,1896,0.12067
46,3.57954,4.24095,3.57507,0.665879,1896,0.13541
47,3.57957,4.22838,3.57481,0.653569,1896,0.15156
48,3.57966,4.21172,3.57446,0.63726,1896,0.15769
49,3.57935,4.19426,3.5743,0.619961,1896,0.10751
50,3.57946,4.18383,3.57387,0.60996,1896,0.15658
