epoch,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1,1.1004,0.120084,0.980315,40983,2.77243
2,1.07976,0.119651,0.960112,41018,2.24675
3,1.06657,0.119647,0.946924,41034,2.10875
4,1.05712,0.119621,0.9375,41091,2.79784
5,1.04778,0.119623,0.928157,41151,2.89026
6,1.04537,0.119572,0.925795,41151,2.70843
7,1.03422,0.119457,0.914761,41225,2.92991
8,1.03256,0.119193,0.913365,41234,2.88387
9,1.02307,0.118856,0.904214,41272,2.67054
10,1.01754,0.118669,0.89887,41302,2.92432
11,1.00955,0.118499,0.891047,41337,2.83226
12,1.00393,0.118398,0.885531,41352,3.00024
13,1.00162,0.118367,0.883251,41376,2.61829
14,0.998096,0.118304,0.879792,41397,2.68565
15,0.996124,0.118199,0.877925,41429,2.66402
16,0.990987,0.118093,0.872894,41492,2.63459
17,0.985048,0.117998,0.867049,41514,2.63497
18,0.982717,0.117959,0.864759,41542,2.62605
19,0.98044,0.117895,0.862545,41562,2.90833
20,0.98235,0.11788,0.86447,41668,2.57869
21,0.978231,0.117814,0.860417,41683,2.84358
22,0.973371,0.117811,0.85556,41723,2.75603
23,0.974662,0.117693,0.856969,41784,2.77355
24,0.97239,0.117687,0.854704,41784,2.8132
25,0.973101,0.117621,0.85548,41784,2.82432
26,0.964142,0.117645,0.846498,41837,2.95994
27,0.973846,0.117646,0.8562,41885,2.94507
28,0.967262,0.117569,0.849694,41896,2.44797
29,0.964346,0.117493,0.846853,41966,2.90109
30,0.963359,0.117471,0.845888,41983,2.76472
31,0.966932,0.117516,0.849416,42011,2.56246
32,0.987589,0.117567,0.870022,42030,2.7132
33,0.96938,0.117622,0.851758,42048,2.51172
34,0.969661,0.117486,0.852175,42119,2.6286
35,0.963514,0.117437,0.846077,42139,3.02966
36,0.961098,0.117461,0.843637,42170,2.89079
37,0.957961,0.117314,0.840647,42186,2.54396
38,0.956261,0.117263,0.838998,42302,2.78463
39,0.958044,0.117274,0.84077,42361,2.89251
40,0.95706,0.117229,0.839831,42361,2.83144
41,0.95563,0.117256,0.838374,42402,2.53352
42,0.954127,0.117188,0.83694,42430,2.67324
43,0.955035,0.117188,0.837847,42440,2.84938
44,0.954236,0.117182,0.837054,42533,2.93341
45,0.954477,0.117122,0.837355,42589,2.53422
46,0.954646,0.117111,0.837535,42621,2.9146
47,0.955932,0.117124,0.838808,42657,2.49386
48,0.954528,0.117044,0.837484,42698,2.69382
49,0.949788,0.117016,0.832772,42735,2.79649
50,0.946929,0.117008,0.829921,42755,2.98708
51,0.948848,0.117142,0.831707,42774,2.46456
52,0.950455,0.11708,0.833375,42774,2.84098
53,0.950831,0.117091,0.83374,42858,2.97703
54,0.949352,0.117038,0.832314,42875,2.82324
55,0.949746,0.117051,0.832696,42963,2.89051
56,0.95475,0.117081,0.837669,43034,2.92765
57,0.966686,0.117667,0.849019,43070,2.65666
58,0.955381,0.117452,0.837929,43090,3.05763
59,0.951348,0.117229,0.834119,43090,2.80641
60,0.955973,0.117267,0.838705,43119,2.99644
61,0.953005,0.11728,0.835725,43185,2.83318
62,0.952222,0.117169,0.835052,43185,2.42966
63,0.951623,0.117143,0.83448,43211,2.93091
64,0.949181,0.117089,0.832092,43211,2.95863
65,0.949258,0.117084,0.832174,43227,2.84791
66,0.949657,0.116947,0.83271,43281,2.87817
67,0.948757,0.116905,0.831852,43412,3.00019
68,0.948141,0.11688,0.831261,43492,3.14656
69,0.947776,0.116986,0.83079,43598,2.90039
70,0.946243,0.117004,0.829239,43620,3.00274
71,0.947761,0.117151,0.830611,43638,3.10589
72,0.94499,0.117134,0.827856,43638,2.64759
73,0.945408,0.117115,0.828294,43688,2.57262
74,0.944776,0.117056,0.82772,43688,2.98183
75,0.943846,0.117048,0.826798,43724,3.02891
76,0.944914,0.116956,0.827958,43770,2.87374
77,0.94314,0.116982,0.826158,43829,3.15369
78,0.947999,0.117011,0.830988,43867,2.82237
79,0.943254,0.117025,0.826229,43867,3.14806
80,0.940826,0.11693,0.823896,43912,2.87454
81,0.942339,0.116946,0.825393,43912,2.91102
82,0.940829,0.116949,0.82388,44005,3.00837
83,0.942074,0.116992,0.825083,44024,3.02501
84,0.943537,0.116968,0.826569,44046,3.04296
85,0.968344,0.117717,0.850627,44083,2.9365
86,0.959494,0.117433,0.842061,44083,3.107
87,0.954956,0.117194,0.837762,44096,3.23673
88,0.956061,0.117116,0.838945,44163,3.15226
89,0.947177,0.116949,0.830229,44176,3.15215
90,0.94336,0.11698,0.82638,44234,2.7784
91,0.941643,0.117003,0.82464,44294,2.75367
92,0.940342,0.116935,0.823407,44322,2.92459
93,0.938862,0.116995,0.821867,44339,3.065
94,0.942308,0.116979,0.825329,44399,2.87692
95,0.939843,0.116946,0.822898,44423,3.0809
96,0.940064,0.116957,0.823107,44465,3.11956
97,0.93935,0.116904,0.822446,44574,2.91553
98,0.941684,0.117003,0.824681,44593,2.87793
99,0.940718,0.116989,0.823729,44703,2.61049
100,0.941228,0.117045,0.824183,44716,2.9701
101,0.941615,0.116997,0.824618,44807,2.82488
102,0.942759,0.117028,0.825731,44875,2.917
103,0.937387,0.117076,0.820311,44920,3.11358
104,0.94141,0.117002,0.824408,44953,3.14801
105,0.938617,0.117006,0.821611,44953,3.27111
106,0.93804,0.117071,0.820969,44985,2.80158
107,0.9362,0.117046,0.819154,45051,3.05943
108,0.939249,0.116963,0.822286,45051,3.24733
109,0.942878,0.117106,0.825772,45079,3.32745
110,0.954301,0.117235,0.837066,45128,3.08068
111,0.948087,0.117105,0.830982,45135,2.86235
112,0.94399,0.117115,0.826875,45155,2.83749
113,0.943327,0.117222,0.826105,45190,2.69984
114,0.938729,0.117164,0.821565,45227,2.76623
115,0.939455,0.117046,0.822409,45236,2.95638
116,0.939023,0.117076,0.821946,45280,3.00822
117,0.939625,0.117084,0.822541,45296,2.86277
118,0.939322,0.116975,0.822346,45373,2.42989
119,0.938163,0.116984,0.821179,45388,2.44978
120,0.940218,0.11699,0.823228,45449,3.12989
121,0.940463,0.117028,0.823435,45460,3.24794
122,0.937958,0.116966,0.820992,45571,2.93298
123,0.940431,0.117089,0.823342,45615,2.61108
124,0.936368,0.116947,0.819421,45677,2.50326
125,0.935078,0.116941,0.818137,45718,2.37777
126,0.939306,0.116966,0.82234,45761,3.02262
127,0.942082,0.116978,0.825103,45768,3.00449
