epoch,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
1,1.09997,0.282166,0.817807,20481,1.01878
2,1.0015,0.277389,0.724107,20576,1.18922
3,0.953307,0.275973,0.677335,20704,1.147
4,0.918287,0.274161,0.644127,20864,1.2899
5,0.891763,0.272479,0.619284,20977,1.35552
6,0.873709,0.271179,0.60253,21129,1.21881
7,0.860935,0.26995,0.590985,21266,1.10845
8,0.859018,0.268952,0.590066,21404,1.04922
9,0.851562,0.270467,0.581095,21508,1.21723
10,0.886512,0.2705,0.616012,21655,1.28486
11,0.857849,0.268928,0.588921,21794,1.35638
12,0.845225,0.267533,0.577692,21991,1.28442
13,0.839642,0.266885,0.572757,22145,1.33606
14,0.836006,0.266352,0.569654,22323,1.20493
15,0.834652,0.26611,0.568541,22494,1.30632
16,0.827375,0.265364,0.56201,22621,1.32428
17,0.831291,0.265197,0.566094,22832,1.22741
18,0.829882,0.265088,0.564794,22962,1.30022
19,0.827356,0.264585,0.562771,23159,1.24069
20,0.825149,0.264132,0.561017,23296,1.25394
21,0.826815,0.264273,0.562542,23476,1.36251
22,0.819598,0.263909,0.555689,23630,1.41169
23,0.82484,0.263567,0.561273,23821,1.41015
24,0.82261,0.26381,0.5588,24044,1.55669
25,0.822231,0.263039,0.559192,24264,1.30577
26,0.819976,0.262753,0.557224,24456,1.49286
27,0.816307,0.262357,0.55395,24660,1.49485
28,0.821148,0.262356,0.558792,24887,1.45366
29,0.820107,0.262234,0.557873,25060,1.37612
30,0.817961,0.261998,0.555963,25282,1.45335
31,0.815863,0.261834,0.554029,25452,1.60381
32,0.812922,0.261019,0.551903,25623,1.45343
33,0.826468,0.263249,0.563218,25846,1.45449
34,0.817143,0.261746,0.555397,26016,1.5844
35,0.817284,0.261143,0.556141,26255,1.43815
36,0.816942,0.261113,0.555829,26374,1.70206
37,0.815081,0.26069,0.554391,26614,1.64024
38,0.814943,0.260469,0.554474,26857,1.5456
39,0.81279,0.26034,0.552451,27046,1.41645
40,0.813737,0.260374,0.553363,27254,1.48219
41,0.809957,0.260088,0.549869,27455,1.59745
42,0.81002,0.260636,0.549384,27694,1.4774
43,0.815089,0.260833,0.554255,27876,1.64683
44,0.81058,0.260225,0.550355,28109,1.81896
45,0.807374,0.259558,0.547816,28376,1.62132
46,0.806613,0.259566,0.547047,28597,1.55242
47,0.80751,0.259263,0.548246,28816,1.71807
48,0.806246,0.259602,0.546644,29017,1.67637
49,0.80392,0.259091,0.544828,29229,1.76428
50,0.804635,0.25882,0.545815,29469,1.73282
51,0.806143,0.259088,0.547055,29670,1.76583
52,0.806973,0.259448,0.547525,29918,1.861
53,0.805036,0.258954,0.546082,30175,2.00346
54,0.803544,0.258459,0.545086,30469,1.70139
55,0.801734,0.258155,0.54358,30710,1.84418
56,0.803234,0.258103,0.545131,30975,1.7508
57,0.805106,0.258197,0.54691,31170,1.67703
58,0.803512,0.257786,0.545726,31434,1.88005
59,0.798797,0.257399,0.541398,31681,1.78568
60,0.800247,0.257029,0.543218,31922,1.72483
61,0.799671,0.257365,0.542306,32186,1.94988
62,0.800885,0.257106,0.543779,32395,1.79395
63,0.79695,0.25682,0.54013,32674,1.8105
64,0.799285,0.256879,0.542406,32913,1.89752
65,0.794847,0.25678,0.538067,33138,1.91277
66,0.793729,0.256521,0.537208,33453,1.90592
67,0.793032,0.25642,0.536612,33674,1.98172
68,0.790241,0.256313,0.533928,33942,2.05469
69,0.794449,0.25621,0.538239,34272,2.01214
70,0.794726,0.256235,0.53849,34468,2.04834
71,0.791519,0.255773,0.535746,34773,2.28548
72,0.79136,0.25534,0.53602,35077,2.10535
73,0.79005,0.255204,0.534845,35306,2.1868
74,0.789161,0.255205,0.533957,35637,1.99258
75,0.789931,0.255661,0.534271,35929,2.02716
76,0.793024,0.255858,0.537166,36194,2.00563
77,0.786956,0.254983,0.531973,36486,2.21487
78,0.787499,0.254565,0.532934,36757,2.00976
79,0.785269,0.254538,0.530731,37083,2.03444
80,0.78435,0.254438,0.529912,37349,2.39929
81,0.781137,0.253981,0.527156,37679,2.26489
82,0.783327,0.254099,0.529228,38009,2.26989
83,0.785431,0.254067,0.531364,38337,2.10218
84,0.78356,0.253748,0.529812,38594,2.07857
85,0.780898,0.254102,0.526796,38929,2.1647
86,0.790416,0.254804,0.535611,39237,2.10004
87,0.781537,0.253249,0.528288,39492,2.42928
88,0.780273,0.252867,0.527406,39798,2.45014
89,0.779472,0.252618,0.526854,40164,2.11274
90,0.780257,0.252634,0.527624,40488,2.16225
91,0.77867,0.252538,0.526133,40711,2.44409
92,0.779343,0.252148,0.527195,41058,2.32448
93,0.779313,0.252343,0.52697,41386,2.38981
94,0.778084,0.252116,0.525968,41708,2.28528
95,0.776246,0.252105,0.524141,41966,2.3542
96,0.775716,0.251743,0.523973,42307,2.64368
97,0.774945,0.251573,0.523373,42699,2.39245
98,0.784686,0.251715,0.532971,43022,2.25441
99,0.792845,0.254042,0.538803,43329,2.54117
100,0.775894,0.251544,0.52435,43685,2.37017
101,0.775165,0.25137,0.523795,44006,2.57539
102,0.773558,0.250902,0.522656,44386,2.67145
103,0.771746,0.250653,0.521093,44734,2.50747
104,0.773397,0.25078,0.522617,45033,2.4422
105,0.772935,0.250652,0.522283,45381,2.78182
106,0.770722,0.250553,0.520168,45737,2.44002
107,0.769727,0.250187,0.51954,46064,2.61668
108,0.770075,0.249968,0.520107,46433,2.67296
109,0.769508,0.250063,0.519446,46846,2.60438
110,0.769456,0.249687,0.519769,47198,2.68002
111,0.773679,0.250155,0.523524,47594,2.75928
112,0.770083,0.249695,0.520388,47956,2.62853
113,0.768932,0.249305,0.519627,48333,2.88913
114,0.768199,0.249175,0.519024,48707,2.68234
115,0.766694,0.248947,0.517748,49090,2.91211
116,0.766075,0.248862,0.517213,49469,2.72765
117,0.765353,0.248712,0.516641,49850,2.88686
118,0.764881,0.249317,0.515564,50228,2.80234
119,0.766339,0.249079,0.51726,50642,2.79991
120,0.764472,0.248499,0.515973,50999,2.80922
121,0.762651,0.248174,0.514477,51371,2.79029
122,0.763852,0.248166,0.515686,51757,2.79404
123,0.763533,0.248163,0.51537,52170,2.94592
124,0.762813,0.248038,0.514774,52553,3.05248
125,0.760538,0.247683,0.512855,52998,3.02866
126,0.760313,0.247338,0.512974,53417,3.24801
127,0.760636,0.247527,0.513109,53855,2.84272
